MunicipioNome | MunicipioCodigo | Ano | ICV
Dona Eusébia | 3122900 | 2015 | 75.0
Dona Eusébia | 3122900 | 2016 | 75.0
Dona Eusébia | 3122900 | 2017 | 87.5
Dona Eusébia | 3122900 | 2018 | 91.15165584415584
Dona Eusébia | 3122900 | 2019 | 98.30136499626029
Dona Eusébia | 3122900 | 2020 | 75.0
Douradoquara | 3123502 | 2015 | 80.79039031620553
Douradoquara | 3123502 | 2016 | 84.85676728334957
Douradoquara | 3123502 | 2017 | 75.0
Douradoquara | 3123502 | 2018 | 100.0
Douradoquara | 3123502 | 2019 | 75.0
Douradoquara | 3123502 | 2020 | 100.0
Entre Rios de Minas | 3123908 | 2015 | 100.0
Entre Rios de Minas | 3123908 | 2016 | 97.91148977604674
Entre Rios de Minas | 3123908 | 2017 | 100.0
Entre Rios de Minas | 3123908 | 2018 | 87.5
Entre Rios de Minas | 3123908 | 2019 | 97.14797681376216
Entre Rios de Minas | 3123908 | 2020 | 87.5
Estiva | 3124500 | 2015 | 100.0
Estiva | 3124500 | 2016 | 100.0
Estiva | 3124500 | 2017 | 100.0
Estiva | 3124500 | 2018 | 50.0
Estiva | 3124500 | 2019 | 100.0
Estiva | 3124500 | 2020 | 100.0
Estrela do Indaiá | 3124708 | 2015 | 75.0
Estrela do Indaiá | 3124708 | 2016 | 88.00005598831548
Estrela do Indaiá | 3124708 | 2017 | 75.0
Estrela do Indaiá | 3124708 | 2018 | 75.0
Estrela do Indaiá | 3124708 | 2019 | 75.0
Estrela do Indaiá | 3124708 | 2020 | 94.11182692307693
Felício dos Santos | 3125408 | 2015 | 100.0
Felício dos Santos | 3125408 | 2016 | 100.0
Felício dos Santos | 3125408 | 2017 | 100.0
Felício dos Santos | 3125408 | 2018 | 100.0
Felício dos Santos | 3125408 | 2019 | 100.0
Felício dos Santos | 3125408 | 2020 | 87.5
São Gonçalo do Rio Preto | 3125507 | 2015 | 100.0
São Gonçalo do Rio Preto | 3125507 | 2016 | 100.0
São Gonçalo do Rio Preto | 3125507 | 2017 | 100.0
São Gonçalo do Rio Preto | 3125507 | 2018 | 100.0
São Gonçalo do Rio Preto | 3125507 | 2019 | 100.0
São Gonçalo do Rio Preto | 3125507 | 2020 | 87.69808110367893
Francisco Badaró | 3126505 | 2015 | 89.47184782608696
Francisco Badaró | 3126505 | 2016 | 100.0
Francisco Badaró | 3126505 | 2017 | 93.43935344827585
Francisco Badaró | 3126505 | 2018 | 87.5
Francisco Badaró | 3126505 | 2019 | 89.75420344053852
Francisco Badaró | 3126505 | 2020 | 96.18209866220735
Glaucilândia | 3127354 | 2015 | 73.22107707509882
Glaucilândia | 3127354 | 2016 | 75.0
Glaucilândia | 3127354 | 2017 | 80.53142241379311
Glaucilândia | 3127354 | 2018 | 75.0
Glaucilândia | 3127354 | 2019 | 75.0
Glaucilândia | 3127354 | 2020 | 92.44696906354514
