MunicipioNome | MunicipioCodigo | Ano | IRH
Congonhal | 3117900 | 2019 | 77.58500000000001
Congonhal | 3117900 | 2020 | 74.405
Cordislândia | 3119005 | 2015 | 78.405
Cordislândia | 3119005 | 2016 | 78.445
Cordislândia | 3119005 | 2017 | 77.995
Cordislândia | 3119005 | 2018 | 77.74
Cordislândia | 3119005 | 2019 | 77.58500000000001
Cordislândia | 3119005 | 2020 | 74.405
Coronel Murta | 3119500 | 2015 | 80.285
Coronel Murta | 3119500 | 2016 | 78.99
Coronel Murta | 3119500 | 2017 | 79.135
Coronel Murta | 3119500 | 2018 | 78.595
Coronel Murta | 3119500 | 2019 | 79.235
Coronel Murta | 3119500 | 2020 | 77.64
Córrego Danta | 3119807 | 2015 | 80.49
Córrego Danta | 3119807 | 2016 | 80.1
Córrego Danta | 3119807 | 2017 | 79.285
Córrego Danta | 3119807 | 2018 | 78.92
Córrego Danta | 3119807 | 2019 | 79.41
Córrego Danta | 3119807 | 2020 | 78.88
Córrego do Bom Jesus | 3119906 | 2015 | 78.405
Córrego do Bom Jesus | 3119906 | 2016 | 78.445
Córrego do Bom Jesus | 3119906 | 2017 | 77.995
Córrego do Bom Jesus | 3119906 | 2018 | 77.74
Córrego do Bom Jesus | 3119906 | 2019 | 77.58500000000001
Córrego do Bom Jesus | 3119906 | 2020 | 74.405
Crisólita | 3120151 | 2015 | 80.475
Crisólita | 3120151 | 2016 | 79.41
Crisólita | 3120151 | 2017 | 77.85
Crisólita | 3120151 | 2018 | 78.565
Crisólita | 3120151 | 2019 | 78.81
Crisólita | 3120151 | 2020 | 79.24
Cristais | 3120201 | 2015 | 78.405
Cristais | 3120201 | 2016 | 77.3
Cristais | 3120201 | 2017 | 77.875
Cristais | 3120201 | 2018 | 78.08500000000001
Cristais | 3120201 | 2019 | 77.525
Cristais | 3120201 | 2020 | 77.03
Cristina | 3120508 | 2015 | 78.405
Cristina | 3120508 | 2016 | 29.305
Cristina | 3120508 | 2017 | 28.19
Cristina | 3120508 | 2018 | 28.12
Cristina | 3120508 | 2019 | 28.235
Cristina | 3120508 | 2020 | 77.645
Crucilândia | 3120607 | 2015 | 77.93
Crucilândia | 3120607 | 2016 | 77.045
Crucilândia | 3120607 | 2017 | 76.985
Crucilândia | 3120607 | 2018 | 77.53
Crucilândia | 3120607 | 2019 | 77.135
Crucilândia | 3120607 | 2020 | 77.115
